CRATER_ID,LAT,LON,DIAM,AGE_MEAN,AGE_STD,CI_LOWER,CI_UPPER
08-1-105873,25.6613,124.69,13.7041,3.8769,0.0709,3.738,4.0159
02-1-000280,51.7727,205.372,15.1692,3.9139,0.0583,3.7997,4.0282
02-1-046550,13.2766,247.371,8.25481,3.8622,0.0473,3.7695,3.955
06-2-007537,15.9426,20.0589,14.9371,3.9356,0.0416,3.8539,4.0172
08-1-068381,18.2929,114.002,10.3463,3.9399,0.0659,3.8107,4.0691
02-1-009620,2.72811,187.508,8.11486,3.8235,0.0858,3.6554,3.9917
08-2-000052,6.65269,151.942,10.116,3.895,0.0572,3.783,4.007
09-1-073923,-19.7155,161.36,8.26883,3.7969,0.0917,3.6171,3.9767
08-1-091957,23.4257,174.469,8.87076,3.7929,0.0791,3.6378,3.9479
02-1-030262,8.46361,247.728,9.41377,3.8867,0.0632,3.7629,4.0104
08-1-040760,10.5634,151.028,9.45218,3.8511,0.0822,3.69,4.0121
08-1-000597,46.6627,131.302,12.9208,3.7783,0.0557,3.6692,3.8874
02-1-000682,37.9771,224.188,28.3497,3.9154,0.0814,3.7558,4.075
05-1-078593,-35.9269,315.01,10.6172,3.9331,0.045,3.8448,4.0213
08-1-001529,12.0493,100.225,12.3874,3.3141,0.0477,3.2206,3.4075
01-1-000532,79.4302,129.728,14.201,3.8801,0.0538,3.7747,3.9855
08-1-001327,27.4946,157.219,15.7071,3.9117,0.0602,3.7936,4.0298
04-1-000271,46.4889,280.946,18.8976,3.8896,0.0473,3.7969,3.9824
07-1-000597,-22.5795,37.2462,26.0335,3.5354,0.0554,3.4268,3.644
03-1-090462,-30.5687,216.402,8.19033,3.9326,0.0683,3.7987,4.0664
02-1-154223,48.3107,224.745,9.52644,3.8807,0.051,3.7808,3.9806
09-1-022597,-4.8997,132.876,9.66538,3.9108,0.0592,3.7948,4.0268
06-1-038384,15.7754,40.7937,8.34249,3.9221,0.0646,3.7954,4.0488
03-1-106264,-35.3938,250.674,10.23,3.6235,0.0715,3.4833,3.7637
08-1-000204,57.6865,175.262,33.0243,3.3768,0.051,3.2767,3.4768
02-1-001423,26.1476,200.91,44.7903,3.9408,0.0645,3.8144,4.0673
03-1-001443,-58.4311,218.119,11.7946,3.611,0.0729,3.468,3.7539
01-1-011630,61.2004,144.036,10.9846,3.859,0.0589,3.7436,3.9745
02-1-000046,57.1633,230.411,13.6009,3.9496,0.0419,3.8674,4.0318
02-1-001696,5.51678,262.223,86.175,3.9047,0.0849,3.7383,4.0711
08-1-195731,50.5418,117.733,10.2364,3.8869,0.0581,3.773,4.0007
07-1-002121,-45.28,56.5277,8.44895,3.8464,0.0567,3.7352,3.9575
05-1-126637,-56.3505,354.043,8.63508,3.9564,0.0612,3.8365,4.0764
02-2-000801,21.3255,258.207,29.2141,3.9424,0.0437,3.8567,4.028
01-1-005124,63.0471,167.467,8.23085,3.8516,0.0486,3.7563,3.9469
03-1-000079,-5.46511,182.557,16.752,3.9424,0.05,3.8444,4.0405
07-1-112153,-30.7822,72.8545,9.4181,3.8777,0.0761,3.7285,4.0269
01-1-000387,72.7594,129.217,18.2012,3.4276,0.0562,3.3175,3.5377
03-1-001298,-55.823,223.167,16.6074,3.9254,0.0649,3.7981,4.0526
08-1-000027,56.2504,125.311,12.242,3.8921,0.0537,3.7868,3.9974
01-1-035151,70.6425,136.016,8.86809,3.8563,0.0643,3.7303,3.9824
08-1-053944,14.1887,156.406,17.5471,3.8985,0.0663,3.7686,4.0284
08-1-000286,53.9132,156.922,11.3792,3.8478,0.0376,3.7741,3.9216
09-1-001492,-54.7272,113.536,8.31201,3.7428,0.0593,3.6265,3.8591
01-1-048956,71.8538,127.974,9.6888,3.8117,0.0583,3.6975,3.9258
06-1-003583,1.80723,75.6107,9.43289,3.7471,0.0845,3.5816,3.9126
02-1-044855,12.2179,248.399,9.60202,3.9,0.0664,3.7699,4.0301
