CRATER_ID,LAT,LON,DIAM,AGE_MEAN,AGE_STD,CI_LOWER,CI_UPPER
02-1-113906,32.7878,243.37,8.20688,3.5303,0.0958,3.3425,3.718
03-1-069474,-22.7689,241.388,12.0888,3.9205,0.079,3.7657,4.0754
02-1-027669,8.06197,229.619,6.58319,3.9225,0.0531,3.8183,4.0267
08-1-010420,3.28924,104.478,7.86214,3.9089,0.0653,3.781,4.0369
09-1-000691,-27.6232,171.364,14.8683,3.6246,0.0789,3.47,3.7793
10-1-074663,-64.3369,78.5488,7.71168,3.9128,0.0555,3.8041,4.0215
02-1-125950,37.422,241.391,8.66754,3.6012,0.0522,3.4988,3.7036
01-1-188186,62.4992,6.62628,6.59199,3.9164,0.0566,3.8054,4.0274
03-1-000489,-15.3022,192.452,13.533,3.8897,0.0593,3.7735,4.0058
01-1-087249,76.3137,268.51,7.97899,3.8003,0.0782,3.6472,3.9535
10-1-154962,-68.6139,171.14,13.7774,3.8367,0.06,3.7191,3.9543
08-1-027609,7.70395,131.251,6.39873,3.851,0.0523,3.7484,3.9536
05-1-000855,-40.0681,351.802,12.0833,3.8835,0.0531,3.7795,3.9875
06-1-024993,10.6455,67.9673,9.87505,3.8557,0.0563,3.7454,3.966
02-1-171712,55.6808,207.557,6.18752,3.908,0.0632,3.7841,4.032
04-2-015207,40.5463,283.327,6.72404,3.9585,0.0575,3.8458,4.0712
02-1-049760,12.8715,180.01,9.90011,3.9048,0.0734,3.7609,4.0486
08-1-099851,25.2946,132.985,8.08456,3.889,0.0743,3.7434,4.0345
02-1-028127,6.94384,242.578,5.3479,3.8492,0.0526,3.7461,3.9523
02-1-104281,29.3475,200.814,9.95568,3.9511,0.071,3.812,4.0902
01-2-021868,82.5654,113.604,7.2121,3.7147,0.0408,3.6347,3.7947
06-1-058154,26.758,73.9008,6.49425,3.9112,0.0528,3.8077,4.0147
08-1-000279,48.6709,151.046,17.6578,3.9024,0.059,3.7868,4.018
08-1-087991,22.3984,109.537,6.79996,3.866,0.0655,3.7375,3.9944
08-1-072296,18.8082,174.01,7.08562,3.9235,0.0573,3.8112,4.0357
03-1-041360,-14.73,224.949,7.96084,3.9357,0.0608,3.8166,4.0549
01-1-061159,79.0621,129.893,5.91067,3.6971,0.0662,3.5675,3.8268
02-1-030381,8.71518,243.94,6.33299,3.8986,0.0736,3.7544,4.0428
01-1-103076,62.8334,277.22,6.54278,3.8794,0.0573,3.7672,3.9917
10-1-000540,-62.9857,290.444,10.1762,3.9224,0.0412,3.8417,4.0031
03-1-071576,-23.9575,223.452,13.8879,3.9178,0.0811,3.7588,4.0768
08-1-135212,34.0623,176.884,15.1118,3.9293,0.0794,3.7736,4.0849
03-2-000001,-17.2658,183.381,93.9785,3.9751,0.0709,3.8362,4.114
03-1-108923,-37.2973,187.276,6.28125,3.8602,0.0562,3.7499,3.9704
10-2-000199,-68.2838,341.696,6.21189,3.9201,0.0631,3.7964,4.0438
03-1-042890,-15.2631,246.684,32.6603,3.8987,0.0588,3.7834,4.014
05-1-022606,-9.02846,351.816,9.5079,3.9368,0.0573,3.8244,4.0492
03-1-000554,-28.6486,197.183,12.0726,3.5821,0.0492,3.4857,3.6785
07-1-000958,-29.0955,20.5317,9.88024,3.873,0.0522,3.7707,3.9753
07-1-001970,-49.4166,18.4445,17.2882,3.8751,0.0597,3.7582,3.992
09-1-142008,-38.0335,150.871,6.1729,3.7054,0.0728,3.5628,3.848
01-1-000646,70.3076,262.089,14.9832,3.7495,0.0511,3.6494,3.8497
07-1-167017,-44.1333,61.4409,7.7814,3.882,0.0508,3.7824,3.9817
06-1-000558,27.6182,89.0325,13.6672,3.5303,0.0683,3.3964,3.6642
03-1-001215,-55.1674,191.549,10.3312,3.6678,0.0719,3.5268,3.8087
06-1-055197,26.3021,41.8201,7.28954,3.7849,0.0559,3.6753,3.8945
08-1-126784,31.5654,90.334,6.01142,3.775,0.0521,3.6729,3.8772
09-1-000142,-6.81152,134.314,55.7695,3.953,0.0536,3.8479,4.0582
08-1-179458,44.744,94.9964,6.85966,3.8294,0.06,3.7117,3.9471
01-2-027946,65.222,161.637,6.33779,3.8507,0.0679,3.7177,3.9837
08-1-204684,53.0565,162.451,11.7711,3.8833,0.0457,3.7937,3.973
